id,datetime,visitor_id,revenue,tax,device_type,device_name
1,2019-10-05 00:00:00,1016870803637,173.3314596961336,0.19,1,Desktop
2,2019-10-11 00:00:00,48076008851343,290.10535175922513,0.07,4,Unknown
3,2019-08-19 00:00:00,72300317870324,511.4181420476257,0.07,2,Tablet
4,2019-10-14 00:00:00,84516511452821,593.8755045649982,0.19,3,Mobile Phone
5,2019-09-10 00:00:00,44780848857001,674.2801956714196,0.07,3,Mobile Phone
6,2019-09-20 00:00:00,54145933160851,59.736283745390196,0.07,2,Tablet
7,2019-10-13 00:00:00,68564288760762,512.0134481572289,0.19,4,Unknown
8,2019-10-22 00:00:00,74593067572606,170.14154434317973,0.07,2,Tablet
9,2019-08-12 00:00:00,74912374801029,862.7377112288809,0.07,4,Unknown
10,2019-10-25 00:00:00,67206600864292,29.665909406771274,0.07,4,Unknown
11,2019-10-28 00:00:00,72257448527137,337.8129959788193,0.19,4,Unknown
12,2019-08-16 00:00:00,31161783828987,893.7967769244418,0.07,2,Tablet
13,2019-09-21 00:00:00,74019332491246,172.42644517824425,0.07,3,Mobile Phone
14,2019-10-19 00:00:00,97387717610795,680.3345850760237,0.07,4,Unknown
15,2019-09-03 00:00:00,45101854301536,254.56788770179506,0.19,4,Unknown
16,2019-08-07 00:00:00,39618162285184,178.45406035096167,0.19,4,Unknown
17,2019-09-22 00:00:00,79503222532643,262.04741924104104,0.07,3,Mobile Phone
18,2019-11-01 00:00:00,47711898936813,934.9268811121353,0.07,4,Unknown
19,2019-10-27 00:00:00,27411965646696,153.64248377511558,0.07,3,Mobile Phone
20,2019-09-14 00:00:00,79047396341564,692.2406476246132,0.19,3,Mobile Phone
21,2019-10-19 00:00:00,11315178096070,454.7341037967879,0.19,3,Mobile Phone
22,2019-10-16 00:00:00,24012466194495,269.69127065290786,0.19,1,Desktop
23,2019-09-19 00:00:00,17029684917498,641.0621015714399,0.07,1,Desktop
24,2019-09-14 00:00:00,59005300724987,18.85446336390395,0.19,2,Tablet
25,2019-10-23 00:00:00,96729202710375,415.3622212214476,0.07,2,Tablet
26,2019-09-18 00:00:00,13585562094666,651.8292077113063,0.07,2,Tablet
27,2019-09-07 00:00:00,51653737316798,643.342337974177,0.07,2,Tablet
28,2019-09-26 00:00:00,6224970231388,764.2974433333836,0.19,3,Mobile Phone
29,2019-09-06 00:00:00,86017690185412,761.6973317859122,0.19,2,Tablet
30,2019-09-05 00:00:00,30526682294845,124.58779921036023,0.07,2,Tablet
31,2019-10-10 00:00:00,52164460431246,730.8992412609637,0.07,2,Tablet
32,2019-09-12 00:00:00,2086917030708,519.4360533711985,0.19,1,Desktop
33,2019-10-13 00:00:00,55711069540774,305.51344963995916,0.07,2,Tablet
34,2019-08-07 00:00:00,69512920708889,161.38927760440103,0.19,4,Unknown
35,2019-09-22 00:00:00,81079023380836,240.37997744006447,0.07,2,Tablet
36,2019-10-15 00:00:00,43129968770844,903.9940787921128,0.19,2,Tablet
37,2019-10-09 00:00:00,3979029989679,481.2938915754198,0.07,3,Mobile Phone
38,2019-08-11 00:00:00,25662618227295,272.57185994385924,0.07,2,Tablet
39,2019-10-02 00:00:00,84878295639931,930.0074967698654,0.07,2,Tablet
40,2019-08-13 00:00:00,96481967263931,476.48545403216326,0.07,3,Mobile Phone
41,2019-09-01 00:00:00,5912788198719,5.159177339339682,0.19,1,Desktop
42,2019-08-14 00:00:00,56713558605689,755.6429642955216,0.19,4,Unknown
43,2019-08-11 00:00:00,32541817151812,336.5394908823005,0.07,1,Desktop
44,2019-11-01 00:00:00,15363719371717,458.6501707162216,0.19,4,Unknown
45,2019-09-14 00:00:00,47447038460279,993.983502272577,0.07,1,Desktop
46,2019-09-07 00:00:00,98093108644448,566.9411006927976,0.07,4,Unknown
47,2019-08-19 00:00:00,60505299592873,913.6412578648841,0.19,4,Unknown
48,2019-09-22 00:00:00,18151304632325,952.801291865284,0.07,4,Unknown
49,2019-10-31 00:00:00,49179450419439,595.868543096989,0.07,2,Tablet
50,2019-08-30 00:00:00,98117926509986,590.6047130318996,0.19,1,Desktop
51,2019-09-17 00:00:00,65247762491065,888.0673065230128,0.19,3,Mobile Phone
52,2019-08-12 00:00:00,54278578539092,397.3668913598596,0.19,3,Mobile Phone
53,2019-08-12 00:00:00,4174132061868,50.513558854352155,0.19,3,Mobile Phone
54,2019-09-07 00:00:00,39041927718356,447.4837046031366,0.07,4,Unknown
55,2019-08-23 00:00:00,49834338770012,227.69954863138088,0.07,4,Unknown
56,2019-08-06 00:00:00,83705422749370,232.0150029337634,0.07,3,Mobile Phone
57,2019-10-20 00:00:00,97378615648630,427.2664113942567,0.19,2,Tablet
58,2019-10-12 00:00:00,51770556649116,533.3757657248497,0.19,1,Desktop
59,2019-10-22 00:00:00,62376855740939,552.2018822851214,0.19,1,Desktop
60,2019-10-31 00:00:00,63263969223132,874.5510884156471,0.19,1,Desktop
61,2019-10-11 00:00:00,15844317367520,872.7037965777533,0.19,3,Mobile Phone
62,2019-09-06 00:00:00,96183215176895,262.864330926103,0.07,2,Tablet
63,2019-09-12 00:00:00,41359763290548,769.0414644511458,0.19,4,Unknown
64,2019-10-23 00:00:00,26405162744862,417.47120480966447,0.19,1,Desktop
65,2019-10-16 00:00:00,70337502894181,726.2980418399463,0.07,4,Unknown
66,2019-10-21 00:00:00,41216233649883,738.5389668012753,0.19,2,Tablet
67,2019-08-23 00:00:00,4876869989137,99.44621266349019,0.19,1,Desktop
68,2019-11-02 00:00:00,17420819132113,799.5720555797154,0.19,2,Tablet
69,2019-09-16 00:00:00,71533889310724,610.2565518255184,0.07,1,Desktop
70,2019-09-21 00:00:00,69063018278676,759.6035794124474,0.07,2,Tablet
